行号,电缆编号,起点,终点,起点房间,终点房间,跨房间,手工长度,自动统计,向上取整,差值,基础路径长度,修正量,规则,状态,路径说明
227,1B-104B,1#主变保护柜,10kV1#分段开关柜,房间_1CEF3,房间_1CEED,是,32,33.6,34,1.6,18.464,15.136,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDBC:5 -> R1BDBC:4 -> R1BDB3:3 -> R1BDB3:4；竖井：ZJ1
228,1B-104C,1#主变保护柜,10kV1#分段开关柜,房间_1CEF3,房间_1CEED,是,32,33.6,34,1.6,18.464,15.136,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDBC:5 -> R1BDBC:4 -> R1BDB3:3 -> R1BDB3:4；竖井：ZJ1
229,1B-104D,1#主变保护柜,10kV1#分段开关柜,房间_1CEF3,房间_1CEED,是,32,33.6,34,1.6,18.464,15.136,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDBC:5 -> R1BDBC:4 -> R1BDB3:3 -> R1BDB3:4；竖井：ZJ1
230,1B-105A,1#主变保护柜,10kV2#分段开关柜,房间_1CEF3,房间_1CEED,是,32,30.9,31,-1.1,16.277,14.623,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC2:3 -> R1BDC2:2 -> R1BDBA:1 -> R1BDBB:1；竖井：ZJ2
231,1B-105B,1#主变保护柜,10kV2#分段开关柜,房间_1CEF3,房间_1CEED,是,32,30.9,31,-1.1,16.277,14.623,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC2:3 -> R1BDC2:2 -> R1BDBA:1 -> R1BDBB:1；竖井：ZJ2
232,1B-105C,1#主变保护柜,10kV2#分段开关柜,房间_1CEF3,房间_1CEED,是,32,30.9,31,-1.1,16.277,14.623,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC2:3 -> R1BDC2:2 -> R1BDBA:1 -> R1BDBB:1；竖井：ZJ2
233,1B-105D,1#主变保护柜,10kV2#分段开关柜,房间_1CEF3,房间_1CEED,是,32,30.9,31,-1.1,16.277,14.623,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC2:3 -> R1BDC2:2 -> R1BDBA:1 -> R1BDBB:1；竖井：ZJ2
234,2B-101A,2#主变保护柜,故障录波柜,房间_1CEF3,房间_1CEF3,否,14,13.3,14,-0.7,4.089,9.211,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:6 -> R1BDC0:1 -> R1BDBC:4
235,2B-101B,2#主变保护柜,故障录波柜,房间_1CEF3,房间_1CEF3,否,14,13.3,14,-0.7,4.089,9.211,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:6 -> R1BDC0:1 -> R1BDBC:4
236,2B-101C,2#主变保护柜,故障录波柜,房间_1CEF3,房间_1CEF3,否,14,13.3,14,-0.7,4.089,9.211,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:6 -> R1BDC0:1 -> R1BDBC:4
237,2B-102A,2#主变保护柜,2#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
238,2B-102B,2#主变保护柜,2#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
239,2B-102C,2#主变保护柜,2#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
240,2B-102D,2#主变保护柜,2#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
241,2B-102E,2#主变保护柜,2#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
242,2B-102F,2#主变保护柜,2#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
243,2B-103A,2#主变保护柜,2#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
244,2B-103B,2#主变保护柜,2#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
245,2B-104A,2#主变保护柜,10kV1#分段开关柜,房间_1CEF3,房间_1CEED,是,32,33.7,34,1.7,18.623,15.077,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC0:1 -> R1BDBC:4 -> R1BDB3:3 -> R1BDB3:4；竖井：ZJ1
246,2B-104B,2#主变保护柜,10kV1#分段开关柜,房间_1CEF3,房间_1CEED,是,32,33.7,34,1.7,18.623,15.077,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC0:1 -> R1BDBC:4 -> R1BDB3:3 -> R1BDB3:4；竖井：ZJ1
247,2B-104C,2#主变保护柜,10kV1#分段开关柜,房间_1CEF3,房间_1CEED,是,32,33.7,34,1.7,18.623,15.077,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC0:1 -> R1BDBC:4 -> R1BDB3:3 -> R1BDB3:4；竖井：ZJ1
248,2B-104D,2#主变保护柜,10kV1#分段开关柜,房间_1CEF3,房间_1CEED,是,32,33.7,34,1.7,18.623,15.077,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC0:1 -> R1BDBC:4 -> R1BDB3:3 -> R1BDB3:4；竖井：ZJ1
249,1SBK-101,10kV1#备用电源馈线柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,31,32.6,33,1.6,17.702,14.898,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
250,1SBK-102,10kV1#备用电源馈线柜,10kV3#PT柜,房间_1CEED,房间_1CEED,否,10,9.9,10,-0.1,2.875,7.025,路径不拐弯 +7,OK,R1BDBB:1
251,2SBK-101,10kV2#备用电源馈线柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,32,33.7,34,1.7,18.551,15.149,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
252,2SBK-102,10kV2#备用电源馈线柜,10kV3#PT柜,房间_1CEED,房间_1CEED,否,9,9.0,9,0.0,2.027,6.973,路径不拐弯 +7,OK,R1BDBB:1
253,3SBK-101,10kV3#备用电源馈线柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,33,34.9,35,1.9,19.556,15.344,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
254,3SBK-102,10kV3#备用电源馈线柜,10kV3#PT柜,房间_1CEED,房间_1CEED,否,8,8.0,8,0.0,1.022,6.978,路径不拐弯 +7,OK,R1BDBB:1
255,1-1SYK-101,10kV1-1#预留馈线柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,32,33.7,34,1.7,18.609,15.091,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
256,1-1SYK-102,10kV1-1#预留馈线柜,10kV1#PT柜,房间_1CEED,房间_1CEED,否,27,26.6,27,-0.4,15.184,11.416,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBA:1 -> R1BDB5:1 -> R1BDB3:4
